id,tweet_id,incident_id
1,1661794454464806913,1
2,1661791968010141705,2
3,1661785693901795347,3
4,1661109055664816129,4
5,1660756468671340544,5
6,1660731380957937664,6
7,1660319170309902337,7
8,1660317377035116544,8
9,1660315485123014658,9
10,1660314403265208320,10
11,1659681895754465280,11
12,1659334532674334721,12
13,1659313030398615554,13
14,1659250300065021980,14
15,1658599489005928449,15
16,1658590893291470850,16
