id,line,site_of_interest,services,status
san_antonio,T,"{""Villa Sudamerica, Parque San Antonio, Paseo Carabobo""}","{""pac"", ""zona_wifi"",""bibliometro"",""estacion_encicla""}",O
caribe,O,"{""Terminal de Transporte Norte""}","{""ruta_integrada"",""zona_wifi""}",O
universal,O,NULL,NULL,O
cordoba,O,NULL,NULL,O
pilarica,O,NULL,NULL,O
ciudadela_universitaria,O,NULL,NULL,O
facultad_de_minas,O,NULL,NULL,O
los_colores,O,NULL,NULL,O
calasanz,O,NULL,NULL,O
floresta,O,"{""Cuarta Brigada""}","{""parqueadero_para_bicicletas"",""ruta_integrada"",""estacion_encicla""}",O
los_pinos,O,NULL,NULL,O
laureles,O,NULL,NULL,O
santa_gema,O,NULL,NULL,O
villa_de_aburra,O,NULL,NULL,O
la_palma,O,NULL,NULL,O
parque_aranjuez,1,"{""Iglesia San Nicolás de Tolentino"", ""Museo Pedro Nel Gómez""}",NULL,O
berlin,1,NULL,NULL,O
las_esmeraldas,1,NULL,NULL,O
manrique,1,NULL,NULL,O
gardel,1,"{""Casa Gardelina""}","{""zona_wifi""}",O
palos_verdes,1,NULL,NULL,O
hospital,1,"{""Clínica León XIII"",""Hospital Infantil"", ""Hospital Universitario San Vicente Fundación"",""Museo Cemeterio San Pedro"",""Preuniversitario Formarte""}","{""ruta_integrada"",""zona_wifi""}",O
udea,1,"{""Universidad de Antioquia"", ""Ruta N""}",NULL,O
chagualo,1,NULL,NULL,O
minorista,1,NULL,NULL,O
cisneros,1,"{""Biblioteca EPM"", ""Centro Administrativo Alpujarra"", ""Parque Pies Desclazos"", ""SENA"", ""Linea B""}","{""estacion_encicla""}",O
plaza_mayor,1,"{""Plaza Mayor""}","{""estacion_encicla""}",O
industriales,1,"{""Museo de Arte Moderno de Medellín"", ""Pueblito Paisa""}","{""estacion_encicla"",""ruta_integrada"",""zona_wifi""}",O
nutibara,1,NULL,"{""estacion_encicla""}",O
fatima,1,"{""Bolera Suramericana""}",NULL,O
rosales,1,NULL,"{""estacion_encicla""}",O
parque_belen,1,"{""Parque Belén¨}",NULL,O
la_palma,1,NULL,NULL,O
los_alpes,1,"{""Centro Comercial Los Molinos""}",NULL,O
udem,1,"{""Universidad de Medellín""}",NULL,O
parque_aranjuez,2,"{""Iglesia San Nicolás de Tolentino"", ""Museo Pedro Nel Gómez""}",NULL,O
berlin,2,NULL,NULL,O
las_esmeraldas,2,NULL,NULL,O
manrique,2,NULL,NULL,O
gardel,2,"{""Casa Gardelina""}","{""zona_wifi""}",O
palos_verdes,2,NULL,NULL,O
catedral,2,NULL,NULL,O
la_playa,2,NULL,NULL,O
san_jose,2,NULL,NULL,O
barrio_colon,2,NULL,NULL,O
perpetuo_socorro,2,NULL,NULL,O
barrio_colombia,2,NULL,NULL,O
industriales,2,"{""Museo de Arte Moderno de Medellín"",""Pueblito Paisa""}","{""estacion_encicla"",""ruta_integrada"",""zona_wifi""}",O
nutibara,2,NULL,"{""estacion_encicla""}",O
fatima,2,"{""Bolera Suramericana""}",NULL,O
rosales,2,NULL,"{""estacion_encicla""}",O
parque_belen,2,"{""Parque Belén¨}",NULL,O
la_palma,2,NULL,NULL,O
los_alpes,2,"{""Centro Comercial Los Molinos""}",NULL,O
udem,2,"{""Universidad de Medellín""}",NULL,O
