line,id,site_of_interest,services,status
T,san_antonio,"{""Villa Sudamerica, Parque San Antonio, Paseo Carabobo""}","{""pac"", ""zona_wifi"",""bibliometro"",""estacion_encicla""}",O
O,caribe,"{""Terminal de Transporte Norte""}","{""ruta_integrada"",""zona_wifi""}",O
O,universal,NULL,NULL,O
O,cordoba,NULL,NULL,O
O,pilarica,NULL,NULL,O
O,ciudadela_universitaria,NULL,NULL,O
O,facultad_de_minas,NULL,NULL,O
O,los_colores,NULL,NULL,O
O,calasanz,NULL,NULL,O
O,floresta,"{""Cuarta Brigada""}","{""parqueadero_para_bicicletas"",""ruta_integrada"",""estacion_encicla""}",O
O,los_pinos,NULL,NULL,O
O,laureles,NULL,NULL,O
O,santa_gema,NULL,NULL,O
O,villa_de_aburra,NULL,NULL,O
O,la_palma,NULL,NULL,O
1,parque_aranjuez,"{""Iglesia San Nicolás de Tolentino"", ""Museo Pedro Nel Gómez""}",NULL,O
1,berlin,NULL,NULL,O
1,las_esmeraldas,NULL,NULL,O
1,manrique,NULL,NULL,O
1,gardel,"{""Casa Gardelina""}","{""zona_wifi""}",O
1,palos_verdes,NULL,NULL,O
1,hospital,"{""Clínica León XIII"",""Hospital Infantil"", ""Hospital Universitario San Vicente Fundación"",""Museo Cemeterio San Pedro"",""Preuniversitario Formarte""}","{""ruta_integrada"",""zona_wifi""}",O
1,udea,"{""Universidad de Antioquia"", ""Ruta N""}",NULL,O
1,chagualo,NULL,NULL,O
1,minorista,NULL,NULL,O
1,cisneros,"{""Biblioteca EPM"", ""Centro Administrativo Alpujarra"", ""Parque Pies Desclazos"", ""SENA"", ""Linea B""}","{""estacion_encicla""}",O
1,plaza_mayor,"{""Plaza Mayor""}","{""estacion_encicla""}",O
1,industriales,"{""Museo de Arte Moderno de Medellín"", ""Pueblito Paisa""}","{""estacion_encicla"",""ruta_integrada"",""zona_wifi""}",O
1,nutibara,NULL,"{""estacion_encicla""}",O
1,fatima,"{""Bolera Suramericana""}",NULL,O
1,rosales,NULL,"{""estacion_encicla""}",O
1,parque_belen,"{""Parque Belén¨}",NULL,O
1,la_palma,NULL,NULL,O
1,los_alpes,"{""Centro Comercial Los Molinos""}",NULL,O
1,udem,"{""Universidad de Medellín""}",NULL,O
2,parque_aranjuez,"{""Iglesia San Nicolás de Tolentino"", ""Museo Pedro Nel Gómez""}",NULL,O
2,berlin,NULL,NULL,O
2,las_esmeraldas,NULL,NULL,O
2,manrique,NULL,NULL,O
2,gardel,"{""Casa Gardelina""}","{""zona_wifi""}",O
2,palos_verdes,NULL,NULL,O
2,catedral,NULL,NULL,O
2,la_playa,NULL,NULL,O
2,san_jose,NULL,NULL,O
2,barrio_colon,NULL,NULL,O
2,perpetuo_socorro,NULL,NULL,O
2,barrio_colombia,NULL,NULL,O
2,industriales,"{""Museo de Arte Moderno de Medellín"",""Pueblito Paisa""}","{""estacion_encicla"",""ruta_integrada"",""zona_wifi""}",O
2,nutibara,NULL,"{""estacion_encicla""}",O
2,fatima,"{""Bolera Suramericana""}",NULL,O
2,rosales,NULL,"{""estacion_encicla""}",O
2,parque_belen,"{""Parque Belén¨}",NULL,O
2,la_palma,NULL,NULL,O
2,los_alpes,"{""Centro Comercial Los Molinos""}",NULL,O
2,udem,"{""Universidad de Medellín""}",NULL,O
